"Produkt mærke, Produkt navn";Produkttype;"Produkt Id";"Indberetter navn";Indberetningsdato
"Hangsen - Atom Usa Mix 6mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20531;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Red Usa Mix 18mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20423;"HANGSEN Sp.z o.o.";11-11-2016
"SMARTDAMP - USA Mix  6mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20531;"HANGSEN Sp.z o.o.";11-11-2016
"INSANO - Brown 12 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20582;"HANGSEN Sp.z o.o.";11-11-2016
"SMARTDAMP - USA Mix  18mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20533;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom USA Mix 18mg/ml 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-16-20533;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Original brown 12mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20582;"HANGSEN Sp.z o.o.";11-11-2016
"InSano - USA Mix  6mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20531;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom USA Mix 6mg/ml 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-16-20531;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Red USA Mix 18mg/ml 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-16-20423;"HANGSEN Sp.z o.o.";11-11-2016
"True Vapor - Original 6 mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20581;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - USA Mix 12mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20532;"HANGSEN Sp.z o.o.";11-11-2016
"InSano - Virginia 18mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20553;"HANGSEN Sp.z o.o.";11-11-2016
"SMARTDAMP - Red USA Mix 12mg/ml 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-16-20422;"HANGSEN Sp.z o.o.";15-11-2016
"Holmegaard - Red USA Mix 6mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20421;"HANGSEN Sp.z o.o.";11-11-2016
"TRUE VAPOR - Virginia 6mg 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-16-20551;"HANGSEN Sp.z o.o.";11-11-2016
"INSANO - White 6 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20891;"HANGSEN Sp.z o.o.";15-11-2016
"Holmegaard - Red usa mix 6mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20421;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Virginia 6mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20551;"HANGSEN Sp.z o.o.";11-11-2016
"INSANO - Hs 6 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20361;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Hs blue 6mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20361;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Ry4 6mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20481;"HANGSEN Sp.z o.o.";11-11-2016
"True Vapor - RY4 12mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20482;"HANGSEN Sp.z o.o.";11-11-2016
"INSANO - Hs 12 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20362;"HANGSEN Sp.z o.o.";11-11-2016
"InSano - RY4 12mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20482;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Ry4 12mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20482;"HANGSEN Sp.z o.o.";11-11-2016
"SMARTDAMP - Red USA Mix 6mg/ml 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-16-20421;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Sp arctic 6mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20891;"HANGSEN Sp.z o.o.";15-11-2016
"True Vapor - Red USA Mix 6mg/ml 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-16-20421;"HANGSEN Sp.z o.o.";11-11-2016
"TRUE VAPOR - Sensation 18 mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20363;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Hs 6mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20361;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Red usa mix 12mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20422;"HANGSEN Sp.z o.o.";15-11-2016
"Holmegaard - Virginia 6mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20551;"HANGSEN Sp.z o.o.";11-11-2016
"TRUE VAPOR - Virginia 18mg 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-16-20553;"HANGSEN Sp.z o.o.";11-11-2016
"INSANO - Red USA Mix 6 mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20421;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom RY4 6mg/ml 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-16-20481;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Virginia 18mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20553;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Hs blue 12mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20362;"HANGSEN Sp.z o.o.";11-11-2016
"TRUE VAPOR - Sensation 12 mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20362;"HANGSEN Sp.z o.o.";11-11-2016
"TRUE VAPOR - Arctic 6 mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20891;"HANGSEN Sp.z o.o.";15-11-2016
"Holmegaard - Red USA Mix 12mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20422;"HANGSEN Sp.z o.o.";15-11-2016
"Holmegaard - Virginia 18mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20553;"HANGSEN Sp.z o.o.";11-11-2016
"InSano - Virginia  6mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20551;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Red Usa Mix 12mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20422;"HANGSEN Sp.z o.o.";15-11-2016
"Hangsen - Atom Hs 12mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20362;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom RY4 12mg/ml 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-16-20482;"HANGSEN Sp.z o.o.";11-11-2016
"TRUE VAPOR - Sensation 6 mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20361;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Ry4 12mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20482;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Red Usa Mix 6mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20421;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Red USA Mix 12mg/ml 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-16-20422;"HANGSEN Sp.z o.o.";15-11-2016
"Holmegaard - Hs blue 18mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20363;"HANGSEN Sp.z o.o.";11-11-2016
"True Vapor - Red USA Mix 18mg/ml 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-16-20423;"HANGSEN Sp.z o.o.";11-11-2016
"True Vapor - Red USA Mix 12mg/ml 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-16-20422;"HANGSEN Sp.z o.o.";15-11-2016
"Hangsen - Atom Mountain 6mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20891;"HANGSEN Sp.z o.o.";15-11-2016
"SMARTDAMP - RY4 12mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20482;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Red USA Mix 6mg/ml 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-16-20421;"HANGSEN Sp.z o.o.";11-11-2016
"INSANO - Hs 18 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20363;"HANGSEN Sp.z o.o.";11-11-2016
"INSANO - Red USA Mix 12 mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20422;"HANGSEN Sp.z o.o.";15-11-2016
"Holmegaard - RY4 12mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20482;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Hs 18mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20363;"HANGSEN Sp.z o.o.";11-11-2016
"True Vapor - RY4 6mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20481;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Ry4 6mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20481;"HANGSEN Sp.z o.o.";11-11-2016
"SMARTDAMP - RY4 6mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20481;"HANGSEN Sp.z o.o.";11-11-2016
"Dr vapes - Dr vapes Green 20 mg/ml nikotin salt";"Refill container/cartridge containing e-liquid.";04330-23-00012;"DR VAPES E-LIQUID LIMITED";26-04-2023
"InSano - RY4 6mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20481;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - RY4 6mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20481;"HANGSEN Sp.z o.o.";11-11-2016
"SALT NEXIONE aspire device";"Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category.";01553-23-00151;"Pro Vape Ltd";31-07-2024
